Category: All categories

Region,ozempic: (11/26/20 - 11/26/25),monjauro: (11/26/20 - 11/26/25),wegovy: (11/26/20 - 11/26/25)
West Virginia,74%,<1%,26%
Louisiana,79%,<1%,21%
Oklahoma,77%,<1%,23%
Mississippi,70%,<1%,30%
Connecticut,78%,<1%,22%
Florida,79%,<1%,21%
Tennessee,70%,<1%,30%
Arkansas,77%,<1%,23%
Kentucky,66%,<1%,34%
Alaska,74%,<1%,26%
Idaho,81%,<1%,19%
South Carolina,74%,<1%,26%
Alabama,70%,<1%,30%
Maine,73%,<1%,27%
Texas,77%,<1%,23%
Nevada,80%,<1%,20%
Arizona,79%,<1%,21%
New Jersey,66%,<1%,34%
Indiana,72%,<1%,28%
California,78%,<1%,22%
Missouri,71%,<1%,29%
Utah,84%,<1%,16%
Pennsylvania,66%,<1%,34%
Maryland,72%,<1%,28%
Delaware,64%,<1%,36%
Montana,82%,<1%,18%
South Dakota,79%,<1%,21%
New York,72%,<1%,28%
Rhode Island,70%,<1%,30%
Georgia,70%,<1%,30%
Wyoming,78%,<1%,22%
New Hampshire,66%,<1%,34%
Nebraska,77%,<1%,23%
District of Columbia,73%,<1%,27%
Illinois,72%,<1%,28%
Ohio,73%,<1%,27%
Iowa,75%,<1%,25%
Kansas,68%,<1%,32%
North Dakota,72%,<1%,28%
Massachusetts,61%,<1%,39%
North Carolina,62%,<1%,38%
Hawaii,83%,<1%,17%
Washington,79%,<1%,21%
Oregon,81%,<1%,19%
Vermont,70%,<1%,30%
Virginia,67%,<1%,33%
Minnesota,67%,<1%,33%
New Mexico,75%,<1%,25%
Michigan,64%,<1%,36%
Colorado,77%,<1%,23%
Wisconsin,70%,<1%,30%
