Category: All categories

Week,ozempic: (United States),Semaglutide: (United States)
2024-09-15,88,0
2024-09-22,95,0
2024-09-29,84,0
2024-10-06,77,0
2024-10-13,87,0
2024-10-20,90,0
2024-10-27,84,0
2024-11-03,74,0
2024-11-10,82,0
2024-11-17,86,0
2024-11-24,86,0
2024-12-01,84,0
2024-12-08,80,0
2024-12-15,83,0
2024-12-22,90,0
2024-12-29,99,0
2025-01-05,92,0
2025-01-12,84,0
2025-01-19,79,3
2025-01-26,92,7
2025-02-02,82,7
2025-02-09,87,8
2025-02-16,92,9
2025-02-23,89,7
2025-03-02,87,8
2025-03-09,88,8
2025-03-16,85,7
2025-03-23,86,8
2025-03-30,76,7
2025-04-06,80,7
2025-04-13,81,7
2025-04-20,82,6
2025-04-27,83,8
2025-05-04,80,7
2025-05-11,83,8
2025-05-18,83,7
2025-05-25,84,7
2025-06-01,79,8
2025-06-08,80,8
2025-06-15,74,8
2025-06-22,74,9
2025-06-29,71,8
2025-07-06,74,9
2025-07-13,73,8
2025-07-20,78,12
2025-07-27,87,15
2025-08-03,72,12
2025-08-10,71,13
2025-08-17,100,11
2025-08-24,76,12
2025-08-31,67,11
2025-09-07,66,10
2025-09-14,65,7
