Category: All categories

Week,ozempic: (United States),monjauro: (United States),wegovy: (United States)
2020-11-22,3,0,0
2020-11-29,3,0,0
2020-12-06,3,0,0
2020-12-13,3,0,0
2020-12-20,2,0,0
2020-12-27,3,0,0
2021-01-03,3,0,0
2021-01-10,4,0,0
2021-01-17,4,0,0
2021-01-24,4,0,0
2021-01-31,4,0,0
2021-02-07,5,0,0
2021-02-14,5,0,0
2021-02-21,5,0,0
2021-02-28,4,0,0
2021-03-07,5,0,0
2021-03-14,5,0,0
2021-03-21,5,0,0
2021-03-28,4,0,0
2021-04-04,6,0,0
2021-04-11,6,0,0
2021-04-18,5,0,0
2021-04-25,5,0,0
2021-05-02,5,0,0
2021-05-09,5,0,0
2021-05-16,6,0,0
2021-05-23,5,0,0
2021-05-30,6,0,4
2021-06-06,8,0,14
2021-06-13,7,0,4
2021-06-20,7,0,3
2021-06-27,7,0,4
2021-07-04,7,0,4
2021-07-11,7,0,4
2021-07-18,6,0,4
2021-07-25,6,0,4
2021-08-01,7,0,4
2021-08-08,6,0,4
2021-08-15,7,0,5
2021-08-22,7,0,5
2021-08-29,7,0,3
2021-09-05,6,0,3
2021-09-12,7,0,3
2021-09-19,7,0,3
2021-09-26,7,0,3
2021-10-03,7,0,3
2021-10-10,7,0,3
2021-10-17,7,0,3
2021-10-24,7,0,3
2021-10-31,7,0,4
2021-11-07,7,0,4
2021-11-14,8,0,4
2021-11-21,6,0,2
2021-11-28,7,0,3
2021-12-05,7,0,3
2021-12-12,7,0,3
2021-12-19,6,0,3
2021-12-26,6,0,4
2022-01-02,8,0,4
2022-01-09,8,0,4
2022-01-16,8,0,4
2022-01-23,9,0,4
2022-01-30,9,0,4
2022-02-06,9,0,5
2022-02-13,9,0,5
2022-02-20,10,0,5
2022-02-27,10,0,5
2022-03-06,9,0,5
2022-03-13,9,0,5
2022-03-20,10,0,6
2022-03-27,10,0,5
2022-04-03,10,0,5
2022-04-10,10,0,6
2022-04-17,11,0,7
2022-04-24,11,0,8
2022-05-01,11,0,6
2022-05-08,15,0,6
2022-05-15,13,0,6
2022-05-22,12,0,5
2022-05-29,13,0,5
2022-06-05,15,0,6
2022-06-12,14,0,6
2022-06-19,15,0,6
2022-06-26,15,0,5
2022-07-03,14,0,5
2022-07-10,16,0,6
2022-07-17,16,0,5
2022-07-24,18,0,5
2022-07-31,17,<1,5
2022-08-07,18,<1,5
2022-08-14,18,<1,5
2022-08-21,18,<1,5
2022-08-28,16,<1,4
2022-09-04,15,<1,4
2022-09-11,18,<1,7
2022-09-18,20,<1,5
2022-09-25,18,<1,5
2022-10-02,19,<1,6
2022-10-09,25,<1,8
2022-10-16,29,<1,9
2022-10-23,25,<1,8
2022-10-30,24,<1,9
2022-11-06,25,<1,8
2022-11-13,35,<1,8
2022-11-20,27,<1,7
2022-11-27,27,<1,7
2022-12-04,30,<1,9
2022-12-11,25,<1,8
2022-12-18,33,<1,8
2022-12-25,32,<1,9
2023-01-01,39,<1,21
2023-01-08,40,<1,17
2023-01-15,48,<1,17
2023-01-22,60,<1,18
2023-01-29,59,<1,21
2023-02-05,52,<1,20
2023-02-12,52,<1,19
2023-02-19,51,<1,22
2023-02-26,57,<1,23
2023-03-05,63,<1,25
2023-03-12,73,<1,24
2023-03-19,64,<1,24
2023-03-26,60,<1,25
2023-04-02,68,<1,27
2023-04-09,67,<1,28
2023-04-16,62,<1,28
2023-04-23,62,<1,28
2023-04-30,65,<1,31
2023-05-07,64,<1,29
2023-05-14,68,<1,32
2023-05-21,78,<1,33
2023-05-28,71,<1,31
2023-06-04,83,<1,33
2023-06-11,83,<1,31
2023-06-18,80,<1,29
2023-06-25,78,<1,28
2023-07-02,71,<1,23
2023-07-09,67,<1,25
2023-07-16,58,<1,22
2023-07-23,66,<1,23
2023-07-30,62,<1,21
2023-08-06,59,<1,31
2023-08-13,62,<1,24
2023-08-20,53,<1,23
2023-08-27,53,<1,21
2023-09-03,50,<1,21
2023-09-10,47,<1,20
2023-09-17,58,<1,22
2023-09-24,59,<1,20
2023-10-01,60,<1,21
2023-10-08,57,<1,20
2023-10-15,54,<1,19
2023-10-22,55,<1,19
2023-10-29,55,<1,18
2023-11-05,60,<1,21
2023-11-12,53,<1,24
2023-11-19,50,<1,15
2023-11-26,57,<1,21
2023-12-03,57,<1,19
2023-12-10,68,<1,20
2023-12-17,65,<1,18
2023-12-24,64,<1,19
2023-12-31,68,<1,22
2024-01-07,60,<1,20
2024-01-14,62,<1,19
2024-01-21,65,<1,21
2024-01-28,62,<1,21
2024-02-04,62,<1,20
2024-02-11,61,<1,19
2024-02-18,76,<1,22
2024-02-25,77,<1,22
2024-03-03,82,<1,28
2024-03-10,83,<1,25
2024-03-17,96,<1,29
2024-03-24,75,<1,24
2024-03-31,91,<1,23
2024-04-07,67,<1,24
2024-04-14,75,<1,24
2024-04-21,94,<1,25
2024-04-28,86,<1,22
2024-05-05,89,<1,24
2024-05-12,100,<1,27
2024-05-19,97,<1,27
2024-05-26,99,<1,26
2024-06-02,84,<1,32
2024-06-09,84,<1,32
2024-06-16,82,<1,33
2024-06-23,79,<1,26
2024-06-30,91,<1,36
2024-07-07,71,<1,31
2024-07-14,68,<1,27
2024-07-21,69,<1,25
2024-07-28,73,<1,27
2024-08-04,65,<1,27
2024-08-11,68,<1,28
2024-08-18,73,<1,26
2024-08-25,68,<1,28
2024-09-01,70,<1,25
2024-09-08,70,<1,25
2024-09-15,64,<1,24
2024-09-22,65,<1,25
2024-09-29,61,<1,25
2024-10-06,55,<1,23
2024-10-13,61,<1,24
2024-10-20,64,<1,25
2024-10-27,61,<1,26
2024-11-03,58,<1,24
2024-11-10,60,<1,26
2024-11-17,61,<1,24
2024-11-24,62,<1,22
2024-12-01,60,<1,24
2024-12-08,57,<1,22
2024-12-15,61,<1,22
2024-12-22,66,<1,20
2024-12-29,72,1,26
2025-01-05,67,1,27
2025-01-12,55,1,26
2025-01-19,55,<1,24
2025-01-26,65,1,22
2025-02-02,58,1,22
2025-02-09,62,<1,22
2025-02-16,64,1,23
