Category: All categories

Week,ozempic: (United States),glp-1: (United States)
2024-09-15,88,12
2024-09-22,95,11
2024-09-29,84,13
2024-10-06,77,11
2024-10-13,87,12
2024-10-20,90,12
2024-10-27,84,14
2024-11-03,74,11
2024-11-10,82,12
2024-11-17,86,12
2024-11-24,86,10
2024-12-01,84,12
2024-12-08,80,11
2024-12-15,83,13
2024-12-22,90,13
2024-12-29,99,18
2025-01-05,92,17
2025-01-12,84,16
2025-01-19,79,16
2025-01-26,92,16
2025-02-02,82,16
2025-02-09,87,17
2025-02-16,92,17
2025-02-23,89,20
2025-03-02,87,17
2025-03-09,88,18
2025-03-16,85,17
2025-03-23,86,17
2025-03-30,76,17
2025-04-06,80,17
2025-04-13,81,18
2025-04-20,82,22
2025-04-27,83,21
2025-05-04,80,19
2025-05-11,83,19
2025-05-18,83,22
2025-05-25,84,20
2025-06-01,79,22
2025-06-08,80,22
2025-06-15,74,23
2025-06-22,74,25
2025-06-29,71,23
2025-07-06,74,25
2025-07-13,73,28
2025-07-20,78,31
2025-07-27,87,33
2025-08-03,72,32
2025-08-10,71,30
2025-08-17,100,36
2025-08-24,76,34
2025-08-31,67,28
2025-09-07,66,26
2025-09-14,64,25
